,location,createdAt,value,isOutlier,Id,outlier
0,"[8.410042, 49.001548]",2024-06-20T07:16:39.669Z,21.04,False,6645db6eeb5aad0007a6e4b7,
1,"[8.410042, 49.001548]",2024-06-20T07:15:40.543Z,20.95,False,6645db6eeb5aad0007a6e4b7,
2,"[8.410042, 49.001548]",2024-06-20T07:14:39.627Z,21.01,False,6645db6eeb5aad0007a6e4b7,
3,"[8.410042, 49.001548]",2024-06-20T07:13:39.503Z,21.03,False,6645db6eeb5aad0007a6e4b7,
4,"[8.410042, 49.001548]",2024-06-20T07:12:39.260Z,20.97,False,6645db6eeb5aad0007a6e4b7,
5,"[8.410042, 49.001548]",2024-06-20T07:11:39.192Z,20.82,False,6645db6eeb5aad0007a6e4b7,
6,"[8.410042, 49.001548]",2024-06-20T07:10:40.010Z,20.88,False,6645db6eeb5aad0007a6e4b7,
7,"[8.410042, 49.001548]",2024-06-20T07:09:39.068Z,20.88,False,6645db6eeb5aad0007a6e4b7,
8,"[8.410042, 49.001548]",2024-06-20T07:08:38.821Z,20.69,False,6645db6eeb5aad0007a6e4b7,
9,"[8.410042, 49.001548]",2024-06-20T07:07:38.672Z,20.73,False,6645db6eeb5aad0007a6e4b7,
10,"[8.410042, 49.001548]",2024-06-20T07:06:38.597Z,20.91,False,6645db6eeb5aad0007a6e4b7,
11,"[8.410042, 49.001548]",2024-06-20T07:05:38.436Z,20.79,False,6645db6eeb5aad0007a6e4b7,
12,"[8.410042, 49.001548]",2024-06-20T07:04:39.062Z,20.76,False,6645db6eeb5aad0007a6e4b7,
13,"[8.410042, 49.001548]",2024-06-20T07:03:38.223Z,21.06,False,6645db6eeb5aad0007a6e4b7,
14,"[8.410042, 49.001548]",2024-06-20T07:02:38.105Z,21.09,False,6645db6eeb5aad0007a6e4b7,
15,"[8.410042, 49.001548]",2024-06-20T07:01:37.948Z,21.06,False,6645db6eeb5aad0007a6e4b7,
16,"[8.410042, 49.001548]",2024-06-20T07:00:37.899Z,21.10,False,6645db6eeb5aad0007a6e4b7,
17,"[8.410042, 49.001548]",2024-06-20T06:59:39.509Z,20.94,False,6645db6eeb5aad0007a6e4b7,
18,"[8.410042, 49.001548]",2024-06-20T06:58:41.575Z,20.89,False,6645db6eeb5aad0007a6e4b7,
19,"[8.410042, 49.001548]",2024-06-20T06:57:37.687Z,20.92,False,6645db6eeb5aad0007a6e4b7,
