,createdAt,Luftdruck,Temperatur,UV-Intensität,rel. Luftfeuchte
90,2024-05-22 17:40:59.466000+00:00,999.31,20.21,95.62,63.53
91,2024-05-22 17:42:00.147000+00:00,999.3,20.05,95.62,63.23
92,2024-05-22 17:42:59.649000+00:00,,19.88,90.0,63.56
93,2024-05-22 17:43:59.911000+00:00,999.3,19.81,90.0,63.96
94,2024-05-22 17:44:59.921000+00:00,999.31,19.83,90.0,63.96
95,2024-05-22 17:45:59.888000+00:00,,19.78,90.0,64.0
96,2024-05-22 17:47:00.340000+00:00,999.33,19.78,90.0,64.0
97,2024-05-22 17:48:00.261000+00:00,999.32,19.8,84.38,64.0
98,2024-05-22 17:49:00.340000+00:00,999.33,19.91,84.38,64.07
99,2024-05-22 17:50:01.238000+00:00,999.34,19.95,84.38,63.56
100,2024-05-22 17:51:00.533000+00:00,999.35,19.96,84.38,63.56
101,2024-05-22 17:52:00.693000+00:00,999.35,20.11,90.0,62.93
102,2024-05-22 17:53:02.586000+00:00,999.35,20.11,84.38,63.03
103,2024-05-22 17:54:00.882000+00:00,999.37,20.24,,63.03
104,2024-05-22 17:55:01.051000+00:00,999.37,,,
105,2024-05-22 17:56:01.204000+00:00,999.37,,,
106,2024-05-22 17:57:01.212000+00:00,999.39,,,
107,2024-05-22 17:58:01.258000+00:00,999.39,,,
108,2024-05-22 17:59:01.414000+00:00,999.39,,,
109,2024-05-22 18:00:01.501000+00:00,999.39,,,
110,2024-05-22 18:01:01.701000+00:00,999.4,,,63.26
111,2024-05-22 18:02:01.795000+00:00,999.41,,,63.56
112,2024-05-22 18:03:01.905000+00:00,999.4,,,63.67
113,2024-05-22 18:04:02.084000+00:00,999.42,,67.5,63.87
114,2024-05-22 18:05:02.250000+00:00,,,67.5,63.46
115,2024-05-22 18:06:02.201000+00:00,,,67.5,
116,2024-05-22 18:07:02.449000+00:00,,,67.5,
117,2024-05-22 18:08:02.486000+00:00,,19.69,67.5,63.79
118,2024-05-22 18:09:02.567000+00:00,999.45,19.66,67.5,64.1
119,2024-05-22 18:10:02.618000+00:00,999.46,19.62,,64.1
120,2024-05-22 18:11:02.811000+00:00,999.48,19.62,,64.4
121,2024-05-22 18:12:02.852000+00:00,999.48,19.68,,64.3
122,2024-05-22 18:13:03.131000+00:00,999.49,19.65,,63.7
123,2024-05-22 18:14:03.233000+00:00,999.49,19.61,61.88,64.1
124,2024-05-22 18:15:03.250000+00:00,999.51,,56.25,63.9
125,2024-05-22 18:16:03.295000+00:00,,,56.25,
126,2024-05-22 18:17:03.487000+00:00,,19.48,56.25,64.03
127,2024-05-22 18:18:03.718000+00:00,,19.47,50.62,64.03
128,2024-05-22 18:19:03.784000+00:00,,19.36,50.62,64.43
129,2024-05-22 18:20:03.941000+00:00,,19.36,50.62,64.43
130,2024-05-22 18:21:03.931000+00:00,,19.28,50.62,64.26
131,2024-05-22 18:22:04.086000+00:00,,19.36,50.62,64.83
132,2024-05-22 18:23:04.170000+00:00,,19.29,45.0,
133,2024-05-22 18:24:04.376000+00:00,,19.11,45.0,64.76
134,2024-05-22 18:25:04.681000+00:00,,19.1,45.0,65.16
135,2024-05-22 18:26:04.612000+00:00,999.58,19.14,45.0,65.56
136,2024-05-22 18:27:04.802000+00:00,999.58,19.25,39.38,65.47
137,2024-05-22 18:28:04.853000+00:00,999.59,19.36,39.38,65.13
138,2024-05-22 18:29:05.149000+00:00,999.58,19.39,39.38,64.63
139,2024-05-22 18:30:05.051000+00:00,999.59,,39.38,64.36
140,2024-05-22 18:31:05.182000+00:00,999.58,,33.75,64.86
141,2024-05-22 18:32:05.421000+00:00,999.58,,33.75,
142,2024-05-22 18:33:05.514000+00:00,999.58,,33.75,
143,2024-05-22 18:34:05.587000+00:00,999.59,,33.75,
144,2024-05-22 18:35:05.765000+00:00,999.57,,28.12,
145,2024-05-22 18:36:05.878000+00:00,999.57,,28.12,
146,2024-05-22 18:37:06+00:00,999.58,,28.12,
147,2024-05-22 18:38:06.231000+00:00,999.58,18.8,28.12,
148,2024-05-22 18:39:06.203000+00:00,999.6,18.76,28.12,65.93
149,2024-05-22 18:40:06.445000+00:00,999.6,18.75,28.12,66.03
150,2024-05-22 18:41:06.553000+00:00,999.61,18.67,22.5,66.13
151,2024-05-22 18:42:06.595000+00:00,999.62,18.62,22.5,66.36
152,2024-05-22 18:43:06.688000+00:00,999.63,18.66,22.5,66.33
153,2024-05-22 18:44:06.833000+00:00,999.64,18.69,22.5,66.33
154,2024-05-22 18:45:06.975000+00:00,999.66,18.73,22.5,66.23
155,2024-05-22 18:46:07.699000+00:00,999.67,18.76,,66.13
156,2024-05-22 18:47:09.436000+00:00,999.68,18.63,,66.43
157,2024-05-22 18:48:07.361000+00:00,999.7,18.54,,66.77
158,2024-05-22 18:49:07.344000+00:00,999.71,,,
159,2024-05-22 18:51:07.650000+00:00,999.74,,,
160,2024-05-22 18:52:07.714000+00:00,999.77,,,
161,2024-05-22 18:55:07.948000+00:00,999.83,,,
162,2024-05-22 18:56:08.082000+00:00,999.85,18.25,,
163,2024-05-22 18:57:08.263000+00:00,999.87,18.14,,68.24
164,2024-05-22 18:58:08.306000+00:00,999.89,18.12,,68.24
165,2024-05-22 18:59:08.542000+00:00,,18.11,,68.24
166,2024-05-22 19:00:08.597000+00:00,999.91,18.1,,68.44
167,2024-05-22 19:01:08.812000+00:00,999.92,18.08,,
168,2024-05-22 19:02:08.867000+00:00,,,5.62,
169,2024-05-22 19:03:08.944000+00:00,,,5.62,
170,2024-05-22 19:04:09.017000+00:00,999.96,,,
171,2024-05-22 19:05:09.212000+00:00,999.96,,,
172,2024-05-22 19:06:10.162000+00:00,999.97,18.0,,
173,2024-05-22 19:07:09.314000+00:00,999.98,17.96,,
174,2024-05-22 19:08:09.391000+00:00,1000.0,17.93,,
175,2024-05-22 19:09:09.532000+00:00,999.99,17.92,,69.18
176,2024-05-22 19:10:09.620000+00:00,1000.01,17.86,,69.18
177,2024-05-22 19:11:09.823000+00:00,1000.01,17.87,,69.18
178,2024-05-22 19:12:09.817000+00:00,1000.02,17.86,0.0,69.28
179,2024-05-22 19:13:09.892000+00:00,1000.02,17.89,0.0,69.18
180,2024-05-22 19:14:10.003000+00:00,1000.03,17.89,0.0,69.28
181,2024-05-22 19:15:10.057000+00:00,1000.03,,0.0,69.28
182,2024-05-22 19:16:10.125000+00:00,,17.84,0.0,
183,2024-05-22 19:17:10.270000+00:00,,17.77,0.0,69.59
184,2024-05-22 19:18:10.430000+00:00,,17.72,0.0,69.79
185,2024-05-22 19:19:10.483000+00:00,,17.66,0.0,70.02
186,2024-05-22 19:20:10.648000+00:00,,17.7,0.0,70.02
187,2024-05-22 19:21:10.776000+00:00,,17.74,0.0,69.89
188,2024-05-22 19:22:14.519000+00:00,1000.19,17.7,0.0,70.12
189,2024-05-22 19:23:10.907000+00:00,1000.2,17.7,0.0,70.12
190,2024-05-22 19:24:11.059000+00:00,1000.22,17.62,0.0,70.32
191,2024-05-22 19:25:11.137000+00:00,1000.23,17.58,0.0,70.42
192,2024-05-22 19:26:11.317000+00:00,1000.24,17.62,0.0,
193,2024-05-22 19:27:11.422000+00:00,1000.25,17.58,0.0,
194,2024-05-22 19:28:11.471000+00:00,1000.26,17.55,0.0,70.62
195,2024-05-22 19:29:11.726000+00:00,1000.27,17.55,0.0,70.73
196,2024-05-22 19:30:11.689000+00:00,1000.27,17.51,0.0,70.93
197,2024-05-22 19:31:11.865000+00:00,1000.28,17.44,0.0,71.26
198,2024-05-22 19:32:11.974000+00:00,1000.29,17.43,0.0,71.06
199,2024-05-22 19:33:12.119000+00:00,1000.3,,0.0,71.57
200,2024-05-22 19:34:20.739000+00:00,1000.32,,0.0,71.67
201,2024-05-22 19:35:12.333000+00:00,1000.33,,0.0,71.67
202,2024-05-22 19:36:12.402000+00:00,1000.35,17.41,0.0,71.37
203,2024-05-22 19:37:26.510000+00:00,1000.38,17.48,0.0,71.37
204,2024-05-22 19:38:13.658000+00:00,1000.39,17.49,0.0,71.33
205,2024-05-22 19:39:12.722000+00:00,1000.41,17.49,0.0,71.23
