,location,createdAt,value,isOutlier,Id,outlier
0,"[8.410042, 49.001548]",2024-06-22T11:04:48.876Z,17.77,False,6645db6eeb5aad0007a6e4b7,
1,"[8.410042, 49.001548]",2024-06-22T11:03:49.142Z,17.89,False,6645db6eeb5aad0007a6e4b7,
2,"[8.410042, 49.001548]",2024-06-22T11:02:48.848Z,18.10,False,6645db6eeb5aad0007a6e4b7,
3,"[8.410042, 49.001548]",2024-06-22T11:01:48.566Z,18.11,False,6645db6eeb5aad0007a6e4b7,
4,"[8.410042, 49.001548]",2024-06-22T11:00:48.535Z,18.07,False,6645db6eeb5aad0007a6e4b7,
5,"[8.410042, 49.001548]",2024-06-22T10:59:48.332Z,18.11,False,6645db6eeb5aad0007a6e4b7,
6,"[8.410042, 49.001548]",2024-06-22T10:58:48.201Z,17.97,False,6645db6eeb5aad0007a6e4b7,
7,"[8.410042, 49.001548]",2024-06-22T10:57:48.716Z,18.10,False,6645db6eeb5aad0007a6e4b7,
8,"[8.410042, 49.001548]",2024-06-22T10:56:48.075Z,18.08,False,6645db6eeb5aad0007a6e4b7,
9,"[8.410042, 49.001548]",2024-06-22T10:55:47.995Z,18.10,False,6645db6eeb5aad0007a6e4b7,
10,"[8.410042, 49.001548]",2024-06-22T10:54:47.817Z,18.33,False,6645db6eeb5aad0007a6e4b7,
11,"[8.410042, 49.001548]",2024-06-22T10:53:47.668Z,18.37,False,6645db6eeb5aad0007a6e4b7,
12,"[8.410042, 49.001548]",2024-06-22T10:52:47.540Z,18.15,False,6645db6eeb5aad0007a6e4b7,
13,"[8.410042, 49.001548]",2024-06-22T10:51:47.473Z,18.02,False,6645db6eeb5aad0007a6e4b7,
14,"[8.410042, 49.001548]",2024-06-22T10:50:47.313Z,18.12,False,6645db6eeb5aad0007a6e4b7,
15,"[8.410042, 49.001548]",2024-06-22T10:49:47.183Z,18.25,True,6645db6eeb5aad0007a6e4b7,
16,"[8.410042, 49.001548]",2024-06-22T10:48:47.152Z,18.36,True,6645db6eeb5aad0007a6e4b7,
17,"[8.410042, 49.001548]",2024-06-22T10:47:47.037Z,18.44,True,6645db6eeb5aad0007a6e4b7,
18,"[8.410042, 49.001548]",2024-06-22T10:46:46.837Z,18.29,True,6645db6eeb5aad0007a6e4b7,
19,"[8.410042, 49.001548]",2024-06-22T10:45:46.787Z,17.99,False,6645db6eeb5aad0007a6e4b7,
20,"[8.410042, 49.001548]",2024-06-22T10:44:46.560Z,17.99,False,6645db6eeb5aad0007a6e4b7,
21,"[8.410042, 49.001548]",2024-06-22T10:43:46.440Z,18.11,False,6645db6eeb5aad0007a6e4b7,
22,"[8.410042, 49.001548]",2024-06-22T10:42:46.359Z,18.14,False,6645db6eeb5aad0007a6e4b7,
23,"[8.410042, 49.001548]",2024-06-22T10:41:46.174Z,18.07,False,6645db6eeb5aad0007a6e4b7,
24,"[8.410042, 49.001548]",2024-06-22T10:40:46.044Z,18.21,False,6645db6eeb5aad0007a6e4b7,
25,"[8.410042, 49.001548]",2024-06-22T10:39:46.722Z,18.11,False,6645db6eeb5aad0007a6e4b7,
26,"[8.410042, 49.001548]",2024-06-22T10:38:45.926Z,18.29,False,6645db6eeb5aad0007a6e4b7,
27,"[8.410042, 49.001548]",2024-06-22T10:37:45.774Z,18.36,False,6645db6eeb5aad0007a6e4b7,
28,"[8.410042, 49.001548]",2024-06-22T10:36:45.590Z,18.27,False,6645db6eeb5aad0007a6e4b7,
29,"[8.410042, 49.001548]",2024-06-22T10:35:53.568Z,18.37,False,6645db6eeb5aad0007a6e4b7,
30,"[8.410042, 49.001548]",2024-06-22T10:34:45.326Z,18.39,False,6645db6eeb5aad0007a6e4b7,
31,"[8.410042, 49.001548]",2024-06-22T10:33:45.255Z,18.36,False,6645db6eeb5aad0007a6e4b7,
32,"[8.410042, 49.001548]",2024-06-22T10:32:45.186Z,18.48,False,6645db6eeb5aad0007a6e4b7,
33,"[8.410042, 49.001548]",2024-06-22T10:31:44.969Z,18.54,False,6645db6eeb5aad0007a6e4b7,
34,"[8.410042, 49.001548]",2024-06-22T10:30:44.825Z,18.78,True,6645db6eeb5aad0007a6e4b7,
35,"[8.410042, 49.001548]",2024-06-22T10:29:44.683Z,18.72,False,6645db6eeb5aad0007a6e4b7,
36,"[8.410042, 49.001548]",2024-06-22T10:28:44.657Z,18.55,False,6645db6eeb5aad0007a6e4b7,
37,"[8.410042, 49.001548]",2024-06-22T10:27:44.468Z,18.66,False,6645db6eeb5aad0007a6e4b7,
38,"[8.410042, 49.001548]",2024-06-22T10:26:44.412Z,18.72,False,6645db6eeb5aad0007a6e4b7,
39,"[8.410042, 49.001548]",2024-06-22T10:25:44.258Z,18.80,False,6645db6eeb5aad0007a6e4b7,
40,"[8.410042, 49.001548]",2024-06-22T10:24:44.185Z,18.80,False,6645db6eeb5aad0007a6e4b7,
41,"[8.410042, 49.001548]",2024-06-22T10:23:44.016Z,18.91,False,6645db6eeb5aad0007a6e4b7,
42,"[8.410042, 49.001548]",2024-06-22T10:22:44.022Z,18.94,False,6645db6eeb5aad0007a6e4b7,
43,"[8.410042, 49.001548]",2024-06-22T10:21:43.736Z,19.08,False,6645db6eeb5aad0007a6e4b7,
44,"[8.410042, 49.001548]",2024-06-22T10:20:43.594Z,19.06,False,6645db6eeb5aad0007a6e4b7,
45,"[8.410042, 49.001548]",2024-06-22T10:19:43.545Z,19.10,False,6645db6eeb5aad0007a6e4b7,
46,"[8.410042, 49.001548]",2024-06-22T10:18:43.540Z,18.91,False,6645db6eeb5aad0007a6e4b7,
47,"[8.410042, 49.001548]",2024-06-22T10:17:43.308Z,18.85,False,6645db6eeb5aad0007a6e4b7,
48,"[8.410042, 49.001548]",2024-06-22T10:16:43.119Z,18.78,False,6645db6eeb5aad0007a6e4b7,
49,"[8.410042, 49.001548]",2024-06-22T10:15:43.009Z,18.88,False,6645db6eeb5aad0007a6e4b7,
50,"[8.410042, 49.001548]",2024-06-22T10:14:42.831Z,18.98,False,6645db6eeb5aad0007a6e4b7,
51,"[8.410042, 49.001548]",2024-06-22T10:13:42.778Z,18.99,False,6645db6eeb5aad0007a6e4b7,
52,"[8.410042, 49.001548]",2024-06-22T10:12:42.602Z,18.91,False,6645db6eeb5aad0007a6e4b7,
53,"[8.410042, 49.001548]",2024-06-22T10:11:42.551Z,18.90,False,6645db6eeb5aad0007a6e4b7,
54,"[8.410042, 49.001548]",2024-06-22T10:10:42.549Z,18.90,False,6645db6eeb5aad0007a6e4b7,
55,"[8.410042, 49.001548]",2024-06-22T10:09:42.370Z,18.87,False,6645db6eeb5aad0007a6e4b7,
56,"[8.410042, 49.001548]",2024-06-22T10:08:42.218Z,18.95,False,6645db6eeb5aad0007a6e4b7,
57,"[8.410042, 49.001548]",2024-06-22T10:07:42.070Z,19.06,True,6645db6eeb5aad0007a6e4b7,
58,"[8.410042, 49.001548]",2024-06-22T10:06:42.683Z,19.19,True,6645db6eeb5aad0007a6e4b7,
59,"[8.410042, 49.001548]",2024-06-22T10:05:41.833Z,19.11,True,6645db6eeb5aad0007a6e4b7,
60,"[8.410042, 49.001548]",2024-06-22T10:04:41.777Z,19.00,False,6645db6eeb5aad0007a6e4b7,
61,"[8.410042, 49.001548]",2024-06-22T10:03:41.808Z,18.85,False,6645db6eeb5aad0007a6e4b7,
62,"[8.410042, 49.001548]",2024-06-22T10:02:42.264Z,18.91,False,6645db6eeb5aad0007a6e4b7,
63,"[8.410042, 49.001548]",2024-06-22T10:01:41.461Z,18.84,False,6645db6eeb5aad0007a6e4b7,
