,location,createdAt,value,isOutlier,Id,outlier
0,"[8.410042, 49.001548]",2024-06-10T11:12:26.427Z,22.33,False,6645db6eeb5aad0007a6e4b7,
1,"[8.410042, 49.001548]",2024-06-10T11:11:26.347Z,22.30,False,6645db6eeb5aad0007a6e4b7,
2,"[8.410042, 49.001548]",2024-06-10T11:10:26.202Z,22.25,False,6645db6eeb5aad0007a6e4b7,
3,"[8.410042, 49.001548]",2024-06-10T11:09:25.974Z,22.22,False,6645db6eeb5aad0007a6e4b7,
4,"[8.410042, 49.001548]",2024-06-10T11:08:25.980Z,22.14,False,6645db6eeb5aad0007a6e4b7,
5,"[8.410042, 49.001548]",2024-06-10T11:07:25.740Z,22.02,False,6645db6eeb5aad0007a6e4b7,
6,"[8.410042, 49.001548]",2024-06-10T11:06:25.590Z,22.03,False,6645db6eeb5aad0007a6e4b7,
7,"[8.410042, 49.001548]",2024-06-10T11:05:25.544Z,22.03,False,6645db6eeb5aad0007a6e4b7,
8,"[8.410042, 49.001548]",2024-06-10T11:04:25.336Z,22.05,False,6645db6eeb5aad0007a6e4b7,
9,"[8.410042, 49.001548]",2024-06-10T11:03:25.415Z,22.10,False,6645db6eeb5aad0007a6e4b7,
10,"[8.410042, 49.001548]",2024-06-10T11:02:25.060Z,22.18,False,6645db6eeb5aad0007a6e4b7,
11,"[8.410042, 49.001548]",2024-06-10T11:01:25.005Z,22.10,False,6645db6eeb5aad0007a6e4b7,
12,"[8.410042, 49.001548]",2024-06-10T11:00:24.928Z,22.12,False,6645db6eeb5aad0007a6e4b7,
13,"[8.410042, 49.001548]",2024-06-10T10:59:24.768Z,22.12,False,6645db6eeb5aad0007a6e4b7,
14,"[8.410042, 49.001548]",2024-06-10T10:58:24.737Z,22.02,False,6645db6eeb5aad0007a6e4b7,
15,"[8.410042, 49.001548]",2024-06-10T10:57:24.570Z,22.00,False,6645db6eeb5aad0007a6e4b7,
16,"[8.410042, 49.001548]",2024-06-10T10:56:24.451Z,21.88,True,6645db6eeb5aad0007a6e4b7,
17,"[8.410042, 49.001548]",2024-06-10T10:55:24.301Z,22.03,False,6645db6eeb5aad0007a6e4b7,
18,"[8.410042, 49.001548]",2024-06-10T10:54:24.177Z,21.94,False,6645db6eeb5aad0007a6e4b7,
19,"[8.410042, 49.001548]",2024-06-10T10:53:24.057Z,21.91,False,6645db6eeb5aad0007a6e4b7,
20,"[8.410042, 49.001548]",2024-06-10T10:52:24.903Z,21.91,False,6645db6eeb5aad0007a6e4b7,
21,"[8.410042, 49.001548]",2024-06-10T10:51:23.787Z,21.88,False,6645db6eeb5aad0007a6e4b7,
22,"[8.410042, 49.001548]",2024-06-10T10:50:23.712Z,21.98,False,6645db6eeb5aad0007a6e4b7,
23,"[8.410042, 49.001548]",2024-06-10T10:49:23.669Z,21.80,False,6645db6eeb5aad0007a6e4b7,
24,"[8.410042, 49.001548]",2024-06-10T10:48:23.697Z,21.80,False,6645db6eeb5aad0007a6e4b7,
25,"[8.410042, 49.001548]",2024-06-10T10:47:23.533Z,21.75,False,6645db6eeb5aad0007a6e4b7,
26,"[8.410042, 49.001548]",2024-06-10T10:46:23.271Z,21.68,True,6645db6eeb5aad0007a6e4b7,
27,"[8.410042, 49.001548]",2024-06-10T10:45:23.218Z,21.65,False,6645db6eeb5aad0007a6e4b7,
28,"[8.410042, 49.001548]",2024-06-10T10:44:23.092Z,21.54,True,6645db6eeb5aad0007a6e4b7,
29,"[8.410042, 49.001548]",2024-06-10T10:43:22.928Z,21.47,True,6645db6eeb5aad0007a6e4b7,
30,"[8.410042, 49.001548]",2024-06-10T10:42:22.780Z,21.61,False,6645db6eeb5aad0007a6e4b7,
31,"[8.410042, 49.001548]",2024-06-10T10:41:22.641Z,21.62,False,6645db6eeb5aad0007a6e4b7,
32,"[8.410042, 49.001548]",2024-06-10T10:40:23.500Z,21.43,False,6645db6eeb5aad0007a6e4b7,
33,"[8.410042, 49.001548]",2024-06-10T10:39:22.354Z,21.31,True,6645db6eeb5aad0007a6e4b7,
34,"[8.410042, 49.001548]",2024-06-10T10:38:22.312Z,21.25,True,6645db6eeb5aad0007a6e4b7,
35,"[8.410042, 49.001548]",2024-06-10T10:37:22.128Z,21.22,False,6645db6eeb5aad0007a6e4b7,
36,"[8.410042, 49.001548]",2024-06-10T10:36:23.091Z,21.14,False,6645db6eeb5aad0007a6e4b7,
37,"[8.410042, 49.001548]",2024-06-10T10:35:24.262Z,20.99,True,6645db6eeb5aad0007a6e4b7,
38,"[8.410042, 49.001548]",2024-06-10T10:34:21.814Z,20.97,False,6645db6eeb5aad0007a6e4b7,
39,"[8.410042, 49.001548]",2024-06-10T10:33:21.853Z,21.10,False,6645db6eeb5aad0007a6e4b7,
40,"[8.410042, 49.001548]",2024-06-10T10:32:21.736Z,21.21,False,6645db6eeb5aad0007a6e4b7,
41,"[8.410042, 49.001548]",2024-06-10T10:31:21.475Z,21.13,False,6645db6eeb5aad0007a6e4b7,
42,"[8.410042, 49.001548]",2024-06-10T10:30:21.338Z,21.14,False,6645db6eeb5aad0007a6e4b7,
43,"[8.410042, 49.001548]",2024-06-10T10:29:21.220Z,21.35,False,6645db6eeb5aad0007a6e4b7,
44,"[8.410042, 49.001548]",2024-06-10T10:28:21.066Z,21.28,False,6645db6eeb5aad0007a6e4b7,
45,"[8.410042, 49.001548]",2024-06-10T10:27:20.932Z,21.21,False,6645db6eeb5aad0007a6e4b7,
46,"[8.410042, 49.001548]",2024-06-10T10:26:20.886Z,21.01,False,6645db6eeb5aad0007a6e4b7,
47,"[8.410042, 49.001548]",2024-06-10T10:25:20.648Z,20.79,True,6645db6eeb5aad0007a6e4b7,
48,"[8.410042, 49.001548]",2024-06-10T10:24:20.520Z,20.70,True,6645db6eeb5aad0007a6e4b7,
49,"[8.410042, 49.001548]",2024-06-10T10:23:20.399Z,20.95,False,6645db6eeb5aad0007a6e4b7,
50,"[8.410042, 49.001548]",2024-06-10T10:22:20.305Z,20.77,True,6645db6eeb5aad0007a6e4b7,
51,"[8.410042, 49.001548]",2024-06-10T10:21:20.222Z,20.80,False,6645db6eeb5aad0007a6e4b7,
52,"[8.410042, 49.001548]",2024-06-10T10:20:20.047Z,21.16,False,6645db6eeb5aad0007a6e4b7,
53,"[8.410042, 49.001548]",2024-06-10T10:19:19.913Z,21.25,False,6645db6eeb5aad0007a6e4b7,
54,"[8.410042, 49.001548]",2024-06-10T10:18:19.769Z,21.17,False,6645db6eeb5aad0007a6e4b7,
55,"[8.410042, 49.001548]",2024-06-10T10:17:19.769Z,20.98,False,6645db6eeb5aad0007a6e4b7,
56,"[8.410042, 49.001548]",2024-06-10T10:16:19.645Z,20.98,False,6645db6eeb5aad0007a6e4b7,
57,"[8.410042, 49.001548]",2024-06-10T10:15:19.510Z,20.76,False,6645db6eeb5aad0007a6e4b7,
58,"[8.410042, 49.001548]",2024-06-10T10:14:19.337Z,20.77,False,6645db6eeb5aad0007a6e4b7,
59,"[8.410042, 49.001548]",2024-06-10T10:13:19.205Z,20.89,False,6645db6eeb5aad0007a6e4b7,
60,"[8.410042, 49.001548]",2024-06-10T10:12:19.078Z,20.85,False,6645db6eeb5aad0007a6e4b7,
61,"[8.410042, 49.001548]",2024-06-10T10:11:19.519Z,20.77,False,6645db6eeb5aad0007a6e4b7,
62,"[8.410042, 49.001548]",2024-06-10T10:10:19.094Z,20.84,False,6645db6eeb5aad0007a6e4b7,
63,"[8.410042, 49.001548]",2024-06-10T10:09:18.845Z,20.74,False,6645db6eeb5aad0007a6e4b7,
64,"[8.410042, 49.001548]",2024-06-10T10:08:18.641Z,20.58,True,6645db6eeb5aad0007a6e4b7,
65,"[8.410042, 49.001548]",2024-06-10T10:07:18.476Z,20.61,False,6645db6eeb5aad0007a6e4b7,
66,"[8.410042, 49.001548]",2024-06-10T10:06:20.497Z,20.32,True,6645db6eeb5aad0007a6e4b7,
67,"[8.410042, 49.001548]",2024-06-10T10:05:18.273Z,20.38,True,6645db6eeb5aad0007a6e4b7,
68,"[8.410042, 49.001548]",2024-06-10T10:04:18.232Z,20.54,False,6645db6eeb5aad0007a6e4b7,
69,"[8.410042, 49.001548]",2024-06-10T10:03:18.138Z,20.59,False,6645db6eeb5aad0007a6e4b7,
70,"[8.410042, 49.001548]",2024-06-10T10:02:18.050Z,20.70,False,6645db6eeb5aad0007a6e4b7,
71,"[8.410042, 49.001548]",2024-06-10T10:01:17.870Z,20.70,False,6645db6eeb5aad0007a6e4b7,
72,"[8.410042, 49.001548]",2024-06-10T10:00:17.741Z,20.88,False,6645db6eeb5aad0007a6e4b7,
73,"[8.410042, 49.001548]",2024-06-10T09:59:17.609Z,20.97,False,6645db6eeb5aad0007a6e4b7,
74,"[8.410042, 49.001548]",2024-06-10T09:58:17.565Z,20.74,False,6645db6eeb5aad0007a6e4b7,
75,"[8.410042, 49.001548]",2024-06-10T09:57:17.404Z,20.72,False,6645db6eeb5aad0007a6e4b7,
76,"[8.410042, 49.001548]",2024-06-10T09:56:17.261Z,20.54,False,6645db6eeb5aad0007a6e4b7,
77,"[8.410042, 49.001548]",2024-06-10T09:55:17.196Z,20.32,True,6645db6eeb5aad0007a6e4b7,
78,"[8.410042, 49.001548]",2024-06-10T09:54:17.038Z,20.28,False,6645db6eeb5aad0007a6e4b7,
79,"[8.410042, 49.001548]",2024-06-10T09:53:16.953Z,20.33,False,6645db6eeb5aad0007a6e4b7,
80,"[8.410042, 49.001548]",2024-06-10T09:52:16.789Z,20.36,False,6645db6eeb5aad0007a6e4b7,
81,"[8.410042, 49.001548]",2024-06-10T09:51:17.493Z,20.41,False,6645db6eeb5aad0007a6e4b7,
82,"[8.410042, 49.001548]",2024-06-10T09:50:16.523Z,20.20,False,6645db6eeb5aad0007a6e4b7,
83,"[8.410042, 49.001548]",2024-06-10T09:49:16.396Z,20.23,False,6645db6eeb5aad0007a6e4b7,
84,"[8.410042, 49.001548]",2024-06-10T09:48:16.375Z,20.29,False,6645db6eeb5aad0007a6e4b7,
85,"[8.410042, 49.001548]",2024-06-10T09:47:16.238Z,20.10,False,6645db6eeb5aad0007a6e4b7,
86,"[8.410042, 49.001548]",2024-06-10T09:46:16.065Z,20.14,False,6645db6eeb5aad0007a6e4b7,
87,"[8.410042, 49.001548]",2024-06-10T09:45:15.927Z,20.03,False,6645db6eeb5aad0007a6e4b7,
88,"[8.410042, 49.001548]",2024-06-10T09:44:15.869Z,20.10,False,6645db6eeb5aad0007a6e4b7,
89,"[8.410042, 49.001548]",2024-06-10T09:43:15.765Z,20.08,False,6645db6eeb5aad0007a6e4b7,
90,"[8.410042, 49.001548]",2024-06-10T09:42:16.501Z,19.84,True,6645db6eeb5aad0007a6e4b7,
91,"[8.410042, 49.001548]",2024-06-10T09:41:15.649Z,19.86,False,6645db6eeb5aad0007a6e4b7,
92,"[8.410042, 49.001548]",2024-06-10T09:40:15.391Z,20.11,False,6645db6eeb5aad0007a6e4b7,
93,"[8.410042, 49.001548]",2024-06-10T09:39:15.246Z,20.17,False,6645db6eeb5aad0007a6e4b7,
94,"[8.410042, 49.001548]",2024-06-10T09:38:15.117Z,20.14,False,6645db6eeb5aad0007a6e4b7,
95,"[8.410042, 49.001548]",2024-06-10T09:37:15.058Z,20.20,False,6645db6eeb5aad0007a6e4b7,
96,"[8.410042, 49.001548]",2024-06-10T09:36:15.184Z,20.18,False,6645db6eeb5aad0007a6e4b7,
97,"[8.410042, 49.001548]",2024-06-10T09:35:14.820Z,20.20,False,6645db6eeb5aad0007a6e4b7,
98,"[8.410042, 49.001548]",2024-06-10T09:34:14.844Z,20.21,False,6645db6eeb5aad0007a6e4b7,
99,"[8.410042, 49.001548]",2024-06-10T09:33:14.709Z,20.35,True,6645db6eeb5aad0007a6e4b7,
100,"[8.410042, 49.001548]",2024-06-10T09:32:14.469Z,20.33,True,6645db6eeb5aad0007a6e4b7,
101,"[8.410042, 49.001548]",2024-06-10T09:31:14.327Z,20.11,False,6645db6eeb5aad0007a6e4b7,
102,"[8.410042, 49.001548]",2024-06-10T09:30:15.488Z,20.01,False,6645db6eeb5aad0007a6e4b7,
103,"[8.410042, 49.001548]",2024-06-10T09:29:14.164Z,20.03,False,6645db6eeb5aad0007a6e4b7,
104,"[8.410042, 49.001548]",2024-06-10T09:28:13.958Z,20.05,False,6645db6eeb5aad0007a6e4b7,
105,"[8.410042, 49.001548]",2024-06-10T09:27:13.892Z,19.99,False,6645db6eeb5aad0007a6e4b7,
106,"[8.410042, 49.001548]",2024-06-10T09:26:13.669Z,20.14,False,6645db6eeb5aad0007a6e4b7,
107,"[8.410042, 49.001548]",2024-06-10T09:25:13.597Z,20.26,False,6645db6eeb5aad0007a6e4b7,
108,"[8.410042, 49.001548]",2024-06-10T09:24:13.527Z,20.17,False,6645db6eeb5aad0007a6e4b7,
109,"[8.410042, 49.001548]",2024-06-10T09:23:13.446Z,20.10,False,6645db6eeb5aad0007a6e4b7,
110,"[8.410042, 49.001548]",2024-06-10T09:22:13.258Z,19.99,False,6645db6eeb5aad0007a6e4b7,
111,"[8.410042, 49.001548]",2024-06-10T09:21:13.108Z,19.94,False,6645db6eeb5aad0007a6e4b7,
112,"[8.410042, 49.001548]",2024-06-10T09:20:13.080Z,20.06,False,6645db6eeb5aad0007a6e4b7,
113,"[8.410042, 49.001548]",2024-06-10T09:19:12.971Z,19.95,False,6645db6eeb5aad0007a6e4b7,
114,"[8.410042, 49.001548]",2024-06-10T09:18:14.267Z,19.78,True,6645db6eeb5aad0007a6e4b7,
115,"[8.410042, 49.001548]",2024-06-10T09:17:12.643Z,19.65,True,6645db6eeb5aad0007a6e4b7,
116,"[8.410042, 49.001548]",2024-06-10T09:16:12.590Z,19.71,True,6645db6eeb5aad0007a6e4b7,
117,"[8.410042, 49.001548]",2024-06-10T09:15:12.474Z,19.59,True,6645db6eeb5aad0007a6e4b7,
118,"[8.410042, 49.001548]",2024-06-10T09:14:12.309Z,19.54,True,6645db6eeb5aad0007a6e4b7,
119,"[8.410042, 49.001548]",2024-06-10T09:13:12.241Z,19.54,False,6645db6eeb5aad0007a6e4b7,
120,"[8.410042, 49.001548]",2024-06-10T09:12:12.082Z,19.55,False,6645db6eeb5aad0007a6e4b7,
121,"[8.410042, 49.001548]",2024-06-10T09:11:13.023Z,19.59,False,6645db6eeb5aad0007a6e4b7,
122,"[8.410042, 49.001548]",2024-06-10T09:10:17.040Z,19.62,False,6645db6eeb5aad0007a6e4b7,
123,"[8.410042, 49.001548]",2024-06-10T09:09:11.720Z,19.55,False,6645db6eeb5aad0007a6e4b7,
124,"[8.410042, 49.001548]",2024-06-10T09:08:11.567Z,19.55,False,6645db6eeb5aad0007a6e4b7,
125,"[8.410042, 49.001548]",2024-06-10T09:07:11.535Z,19.66,False,6645db6eeb5aad0007a6e4b7,
126,"[8.410042, 49.001548]",2024-06-10T09:06:11.329Z,19.73,False,6645db6eeb5aad0007a6e4b7,
127,"[8.410042, 49.001548]",2024-06-10T09:05:11.289Z,19.73,False,6645db6eeb5aad0007a6e4b7,
